Frequency;Channel C
(MHz);(dBu)

0,92124939;-51,65727000
0,92315674;-51,58549000
0,92506409;-51,53450000
0,92697144;-51,79631000
0,92887878;-51,91764000
0,93078613;-51,97240000
0,93269348;-51,92650000
0,93460083;-51,83187000
0,93650818;-51,73083000
0,93841553;-51,55501000
0,94032288;-51,58506000
0,94223022;-51,56575000
0,94413757;-51,63997000
0,94604492;-51,76569000
0,94795227;-51,66283000
0,94985962;-51,69209000
0,95176697;-51,69218000
0,95367432;-51,65895000
0,95558167;-51,66924000
0,95748901;-51,91251000
0,95939636;-51,93456000
0,96130371;-51,59148000
0,96321106;-51,70842000
0,96511841;-51,91093000
0,96702576;-51,99709000
0,96893311;-51,98880000
0,97084045;-51,68277000
0,97274780;-51,63676000
0,97465515;-51,78110000
0,97656250;-51,63488000
0,97846985;-51,60431000
0,98037720;-51,57481000
0,98228455;-51,57916000
0,98419189;-51,76334000
0,98609924;-52,02171000
0,98800659;-52,01007000
0,98991394;-52,21570000
0,99182129;-52,21839000
0,99372864;-52,11071000
0,99563599;-52,22215000
0,99754333;-52,21312000
0,99945068;-52,25819000
1,00135803;-52,07446000
1,00326538;-52,12241000
1,00517273;-51,96926000
1,00708008;-51,89942000
1,00898743;-51,71502000
1,01089478;-51,62780000
1,01280212;-51,70671000
1,01470947;-52,04136000
1,01661682;-52,26156000
1,01852417;-52,34621000
1,02043152;-52,13859000
1,02233887;-52,12373000
1,02424622;-52,22676000
1,02615356;-52,17541000
1,02806091;-52,19902000
1,02996826;-52,07265000
1,03187561;-52,11342000
1,03378296;-52,28893000
1,03569031;-52,37225000
1,03759766;-52,29202000
1,03950500;-52,24265000
1,04141235;-52,36924000
1,04331970;-52,36527000
1,04522705;-52,19373000
1,04713440;-52,22776000
1,04904175;-52,42133000
1,05094910;-52,25357000
1,05285645;-52,02307000
1,05476379;-52,18294000
1,05667114;-52,21888000
1,05857849;-52,28199000
1,06048584;-52,31495000
1,06239319;-52,40496000
1,06430054;-52,25338000
1,06620789;-52,18756000
1,06811523;-52,36269000
1,07002258;-52,42207000
1,07192993;-52,53709000
1,07383728;-52,64221000
1,07574463;-52,54081000
1,07765198;-52,62471000
1,07955933;-52,68266000
1,08146667;-52,47778000
1,08337402;-52,51769000
1,08528137;-52,55179000
1,08718872;-52,44127000
1,08909607;-52,31244000
1,09100342;-52,54429000
1,09291077;-52,40667000
1,09481812;-52,40843000
1,09672546;-52,56346000
1,09863281;-52,69904000
1,10054016;-52,68711000
1,10244751;-52,54860000
1,10435486;-52,37362000
1,10626221;-52,20719000
1,10816956;-52,43476000
1,11007690;-52,46497000
1,11198425;-52,81107000
1,11389160;-52,69675000
1,11579895;-52,55963000
1,11770630;-52,41052000
1,11961365;-52,54489000
1,12152100;-52,62949000
1,12342834;-52,38845000
1,12533569;-52,26505000
1,12724304;-52,29124000
1,12915039;-52,53001000
1,13105774;-52,86339000
1,13296509;-52,48829000
1,13487244;-52,59262000
1,13677979;-52,52753000
1,13868713;-52,51876000
1,14059448;-52,54164000
1,14250183;-52,50576000
1,14440918;-52,66124000
1,14631653;-52,66314000
1,14822388;-52,60382000
1,15013123;-52,45829000
1,15203857;-52,74339000
1,15394592;-52,66980000
1,15585327;-52,68605000
1,15776062;-52,69135000
1,15966797;-52,53540000
