Time;Channel A;Channel B
(ms);(V);(mV)

-23,17721524;-0,05527190;3,56330000
-23,17516724;-0,05527190;3,16652300
-23,17311924;-0,05527190;3,56330000
-23,17107124;-0,05527190;3,56330000
-23,16902324;-0,05527190;3,56330000
-23,16697524;-0,05527190;2,37450800
-23,16492724;-0,05527190;3,16652300
-23,16287924;-0,05527190;3,16652300
-23,16083124;-0,05527190;2,77128400
-23,15878324;-0,05527190;3,16652300
-23,15673524;-0,05527190;3,16652300
-23,15468724;-0,05527190;3,16652300
-23,15263924;-0,05527190;3,16652300
-23,15059124;-0,05527190;3,56330000
-23,14854324;-0,05527190;4,35531500
-23,14649524;-0,05527190;4,35531500
-23,14444724;-0,05527190;5,14733000
-23,14239924;-0,05527190;5,54256900
-23,14035124;-0,05527190;3,56330000
-23,13830324;-0,05527190;5,14733000
-23,13625524;-0,05527190;5,93934500
-23,13420724;-0,05527190;5,54256900
-23,13215924;-0,05527190;5,93934500
-23,13011124;-0,05527190;6,33458400
-23,12806324;-0,05527190;6,33458400
-23,12601524;-0,05527190;5,93934500
-23,12396724;-0,05527190;6,33458400
-23,12191924;-0,05527190;6,33458400
-23,11987124;-0,05527190;5,93934500
-23,11782324;-0,05527190;5,54256900
-23,11577524;-0,05527190;5,93934500
-23,11372724;-0,04736713;5,54256900
-23,11167924;-0,04736713;5,54256900
-23,10963124;-0,05527190;5,14733000
-23,10758324;-0,05527190;5,14733000
-23,10553524;-0,05527190;5,54256900
-23,10348724;-0,05527190;5,54256900
-23,10143924;-0,05527190;6,33458400
-23,09939124;-0,04736713;5,54256900
-23,09734324;-0,05527190;5,14733000
-23,09529524;-0,05527190;5,93934500
-23,09324724;-0,05527190;5,54256900
-23,09119924;-0,04736713;5,54256900
-23,08915124;-0,04736713;5,54256900
-23,08710324;-0,05527190;6,33458400
-23,08505524;-0,04736713;5,93934500
-23,08300724;-0,04736713;6,72982200
-23,08095924;-0,04736713;6,72982200
-23,07891124;-0,04736713;6,33458400
-23,07686325;-0,04736713;6,33458400
-23,07481525;-0,04736713;6,33458400
-23,07276725;-0,04736713;5,54256900
-23,07071925;-0,04736713;5,54256900
-23,06867125;-0,04736713;5,54256900
-23,06662325;-0,04736713;6,33458400
-23,06457525;-0,04736713;5,54256900
-23,06252725;-0,04736713;6,33458400
-23,06047925;-0,04736713;6,72982200
-23,05843125;-0,04736713;7,12659900
-23,05638325;-0,04736713;6,72982200
-23,05433525;-0,04736713;7,12659900
-23,05228725;-0,04736713;6,72982200
-23,05023925;-0,04736713;7,12659900
-23,04819125;-0,04736713;6,72982200
-23,04614325;-0,04736713;7,52183800
-23,04409525;-0,04736713;7,52183800
-23,04204725;-0,04736713;7,52183800
-23,03999925;-0,04736713;6,72982200
-23,03795125;-0,04736713;7,12659900
-23,03590325;-0,04736713;7,12659900
-23,03385525;-0,04736713;7,12659900
-23,03180725;-0,04736713;7,12659900
-23,02975925;-0,04736713;7,52183800
-23,02771125;-0,04736713;7,91861400
-23,02566325;-0,04736713;7,12659900
-23,02361525;-0,04736713;7,12659900
-23,02156725;-0,04736713;7,12659900
-23,01951925;-0,04736713;7,52183800
-23,01747125;-0,04736713;6,72982200
-23,01542325;-0,04736713;7,12659900
-23,01337525;-0,04736713;7,12659900
-23,01132725;-0,04736713;7,12659900
-23,00927925;-0,04736713;5,14733000
-23,00723125;-0,03946235;7,52183800
-23,00518325;-0,03946235;7,52183800
-23,00313525;-0,04736713;7,52183800
-23,00108725;-0,04736713;7,91861400
-22,99903925;-0,03946235;7,12659900
-22,99699125;-0,03946235;8,31385200
-22,99494325;-0,03946235;7,52183800
-22,99289525;-0,03946235;7,52183800
-22,99084725;-0,03946235;7,91861400
-22,98879925;-0,03946235;7,91861400
-22,98675125;-0,03946235;8,31385200
-22,98470325;-0,03946235;8,31385200
-22,98265525;-0,03946235;7,52183800
-22,98060725;-0,03946235;7,52183800
-22,97855925;-0,03946235;9,10586800
-22,97651125;-0,03946235;8,31385200
-22,97446325;-0,03946235;8,71062900
-22,97241525;-0,03946235;9,10586800
-22,97036725;-0,03946235;9,50264500
-22,96831925;-0,03946235;9,10586800
-22,96627125;-0,03946235;9,10586800
-22,96422325;-0,03946235;8,71062900
-22,96217525;-0,03946235;8,71062900
-22,96012725;-0,03946235;8,71062900
-22,95807925;-0,03946235;9,10586800
-22,95603125;-0,03946235;8,71062900
-22,95398325;-0,03946235;8,71062900
-22,95193525;-0,03946235;9,50264500
-22,94988725;-0,03946235;9,89788300
-22,94783925;-0,03946235;9,50264500
-22,94579125;-0,03946235;9,50264500
-22,94374325;-0,03946235;9,50264500
-22,94169525;-0,03946235;9,50264500
-22,93964725;-0,03946235;9,50264500
-22,93759925;-0,03946235;9,50264500
-22,93555125;-0,03946235;9,50264500
-22,93350325;-0,03946235;9,50264500
-22,93145525;-0,03946235;9,89788300
-22,92940725;-0,03946235;9,89788300
-22,92735925;-0,03946235;9,50264500
-22,92531125;-0,03158834;9,50264500
-22,92326325;-0,03158834;9,89788300
-22,92121525;-0,03946235;9,10586800
-22,91916725;-0,03946235;9,50264500
-22,91711925;-0,03158834;9,50264500
-22,91507125;-0,03158834;9,50264500
-22,91302325;-0,03158834;9,10586800
-22,91097525;-0,03158834;9,50264500
-22,90892725;-0,03158834;9,10586800
-22,90687925;-0,03158834;9,10586800
-22,90483125;-0,03158834;9,10586800
-22,90278325;-0,03158834;9,10586800
-22,90073525;-0,03158834;9,50264500
-22,89868725;-0,03158834;9,89788300
-22,89663925;-0,03158834;9,50264500
-22,89459125;-0,03158834;12,67070000
-22,89254325;-0,03158834;10,29466000
-22,89049525;-0,03158834;10,29466000
-22,88844725;-0,03158834;10,29466000
-22,88639925;-0,03158834;10,68990000
-22,88435125;-0,03158834;10,29466000
-22,88230325;-0,03158834;10,29466000
-22,88025525;-0,03158834;10,29466000
-22,87820725;-0,03158834;11,08667000
-22,87615925;-0,03158834;10,68990000
-22,87411125;-0,03158834;10,68990000
-22,87206325;-0,03158834;10,68990000
-22,87001525;-0,03158834;10,68990000
-22,86796725;-0,03158834;10,29466000
-22,86591925;-0,03158834;10,68990000
-22,86387125;-0,03158834;10,68990000
-22,86182325;-0,03158834;10,68990000
-22,85977525;-0,03158834;10,68990000
-22,85772725;-0,03158834;10,68990000
-22,85567925;-0,03158834;11,08667000
-22,85363125;-0,03158834;10,68990000
-22,85158325;-0,03158834;11,08667000
-22,84953525;-0,03158834;10,29466000
-22,84748725;-0,03158834;10,68990000
-22,84543925;-0,03158834;11,08667000
-22,84339125;-0,03158834;11,48191000
-22,84134325;-0,03158834;10,68990000
-22,83929525;-0,03158834;10,29466000
-22,83724725;-0,03158834;11,48191000
-22,83519925;-0,03158834;10,68990000
-22,83315125;-0,02368356;10,68990000
-22,83110325;-0,02368356;10,68990000
-22,82905525;-0,02368356;11,08667000
-22,82700725;-0,02368356;10,68990000
-22,82495925;-0,02368356;11,08667000
-22,82291125;-0,02368356;10,68990000
-22,82086325;-0,02368356;9,89788300
-22,81881525;-0,02368356;11,08667000
-22,81676725;-0,02368356;11,48191000
-22,81471925;-0,02368356;11,48191000
-22,81267125;-0,02368356;11,48191000
-22,81062325;-0,02368356;11,87869000
-22,80857525;-0,02368356;12,27393000
-22,80652725;-0,02368356;12,67070000
-22,80447925;-0,02368356;13,06594000
-22,80243125;-0,02368356;13,06594000
-22,80038325;-0,02368356;13,06594000
-22,79833525;-0,02368356;12,67070000
-22,79628725;-0,02368356;12,67070000
-22,79423925;-0,02368356;12,27393000
-22,79219125;-0,02368356;12,27393000
-22,79014325;-0,02368356;12,27393000
-22,78809525;-0,02368356;12,67070000
-22,78604725;-0,02368356;12,27393000
-22,78399925;-0,02368356;12,27393000
-22,78195125;-0,02368356;12,67070000
-22,77990325;-0,02368356;12,67070000
-22,77785525;-0,02368356;12,27393000
-22,77580725;-0,02368356;12,67070000
-22,77375925;-0,02368356;12,27393000
-22,77171125;-0,02368356;12,27393000
-22,76966325;-0,02368356;12,27393000
-22,76761525;-0,02368356;12,27393000
-22,76556725;-0,02368356;12,67070000
-22,76351925;-0,02368356;13,06594000
-22,76147125;-0,02368356;13,06594000
-22,75942325;-0,02368356;12,67070000
-22,75737525;-0,02368356;12,67070000
-22,75532725;-0,02368356;12,67070000
-22,75327925;-0,02368356;11,87869000
-22,75123125;-0,02368356;12,27393000
-22,74918325;-0,02368356;12,67070000
-22,74713525;-0,01577879;12,67070000
-22,74508725;-0,02368356;11,87869000
-22,74303925;-0,02368356;12,27393000
-22,74099125;-0,01577879;11,87869000
-22,73894325;-0,01577879;12,27393000
-22,73689525;-0,01577879;12,67070000
-22,73484725;-0,01577879;12,67070000
-22,73279925;-0,01577879;12,67070000
-22,73075125;-0,01577879;13,06594000
-22,72870325;-0,01577879;12,67070000
-22,72665525;-0,01577879;13,46118000
-22,72460725;-0,01577879;13,06594000
-22,72255926;-0,02368356;11,87869000
-22,72051126;-0,01577879;13,46118000
-22,71846326;-0,01577879;13,06594000
-22,71641526;-0,01577879;13,06594000
-22,71436726;-0,01577879;13,06594000
-22,71231926;-0,01577879;13,46118000
-22,71027126;-0,01577879;13,06594000
-22,70822326;-0,01577879;13,06594000
-22,70617526;-0,01577879;13,06594000
-22,70412726;-0,01577879;13,06594000
-22,70207926;-0,01577879;13,06594000
-22,70003126;-0,02368356;13,46118000
-22,69798326;-0,01577879;13,85796000
-22,69593526;-0,01577879;13,85796000
-22,69388726;-0,01577879;13,85796000
-22,69183926;-0,01577879;13,46118000
-22,68979126;-0,01577879;13,06594000
-22,68774326;-0,01577879;13,46118000
-22,68569526;-0,01577879;13,85796000
-22,68364726;-0,01577879;14,25320000
-22,68159926;-0,01577879;13,46118000
-22,67955126;-0,01577879;13,85796000
-22,67750326;-0,01577879;13,85796000
-22,67545526;-0,01577879;13,85796000
-22,67340726;-0,01577879;13,46118000
-22,67135926;-0,01577879;13,46118000
-22,66931126;-0,01577879;13,06594000
-22,66726326;-0,01577879;12,67070000
-22,66521526;-0,01577879;12,67070000
-22,66316726;-0,01577879;13,06594000
-22,66111926;-0,00787402;13,85796000
